title,company,location,description,requirements
Software Engineer,TechVantage Inc,San Francisco,"Design and develop scalable software solutions. Write clean, maintainable code and participate in code reviews. Collaborate with cross-functional teams to deliver high-quality products.","Java;Python;C++;Git;Agile;REST APIs;software architecture;problem solving"
Software Developer,CodeCraft Solutions,Remote,"Develop robust software applications using modern programming languages. Implement features, fix bugs, and optimize performance. Work in an agile environment with continuous integration.","Python;JavaScript;SQL;Docker;microservices;testing;version control;collaboration"
Full-Stack Developer,DevFoundry,Remote,"Build end-to-end web applications from frontend to backend. Handle both client-side and server-side development. Create responsive UIs and scalable APIs.","React;Node.js;Express;MongoDB;REST APIs;HTML5;CSS3;JavaScript;full-stack development"
Full-Stack Engineer,StackBuilders Inc,Austin,"Develop complete web applications across the entire technology stack. Design databases, build APIs, and create user interfaces. Ensure seamless integration between frontend and backend.","Angular;Python;Django;PostgreSQL;AWS;TypeScript;REST;GraphQL;full-stack architecture"
Frontend Developer,WebCraft Studios,New York,"Create responsive and interactive user interfaces. Implement modern UI/UX designs using React and TypeScript. Optimize frontend performance and ensure cross-browser compatibility.","React;TypeScript;CSS;HTML5;Redux;responsive design;UI/UX;frontend frameworks"
Frontend Engineer,UI Innovations,Remote,"Build pixel-perfect user interfaces. Develop reusable components and maintain design systems. Optimize performance and implement accessibility standards.","Vue.js;JavaScript;SASS;Webpack;Jest;component libraries;performance optimization;accessibility"
Backend Developer,CloudForge,Remote,"Build and maintain server-side applications and APIs. Design database schemas and optimize queries. Ensure system scalability and reliability.","Node.js;Python;PostgreSQL;Redis;AWS;REST APIs;microservices;database design"
Backend Engineer,ServerStack Technologies,Bengaluru,"Develop RESTful APIs and microservices. Work with databases, caching, and cloud infrastructure. Implement authentication and authorization systems.","Java;Spring Boot;MongoDB;Docker;CI/CD;API development;backend architecture;system design"
MERN Stack Developer,MERN Solutions Inc,Remote,"Develop full-stack applications using MongoDB, Express, React, and Node.js. Build RESTful APIs and dynamic user interfaces. Implement authentication and data management.","MongoDB;Express;React;Node.js;JavaScript;REST APIs;MERN stack;full-stack development"
MERN Developer,FullStack Labs,Seattle,"Create web applications using the MERN technology stack. Design database schemas, build APIs, and develop interactive frontends. Deploy applications to cloud platforms.","MongoDB;Express.js;React.js;Node.js;Mongoose;JWT;deployment;MERN architecture"
React Developer,ReactPro Inc,Remote,"Build modern user interfaces using React. Develop reusable components and manage application state. Optimize React applications for performance.","React;JavaScript;TypeScript;Redux;React Hooks;component design;state management;React ecosystem"
React Engineer,ReactTech Solutions,New York,"Develop complex React applications. Implement routing, state management, and API integration. Build component libraries and maintain code quality.","React;TypeScript;Next.js;Context API;React Router;testing;performance optimization;React best practices"
Node.js Developer,NodeStack Inc,Remote,"Build server-side applications using Node.js. Develop RESTful APIs and microservices. Work with databases and implement real-time features.","Node.js;Express;JavaScript;MongoDB;REST APIs;async programming;npm packages;server-side development"
Node.js Engineer,BackendNode Solutions,Bengaluru,"Develop scalable backend services with Node.js. Design APIs, implement authentication, and optimize performance. Work with cloud services and containerization.","Node.js;Express;TypeScript;PostgreSQL;Docker;microservices;API design;backend optimization"
Web Developer,WebSolutions Inc,Remote,"Build responsive websites and web applications. Ensure cross-browser compatibility and implement SEO best practices. Create engaging user experiences.","HTML5;CSS3;JavaScript;jQuery;responsive design;web standards;SEO;browser compatibility"
Web Engineer,DigitalWeb Tech,Remote,"Develop modern web applications. Implement responsive designs and optimize for performance. Integrate third-party APIs and ensure accessibility.","HTML;CSS;JavaScript;React;web performance;accessibility;responsive design;web technologies"
Machine Learning Engineer,TechNova Labs,Remote,"Develop ML models for production systems. Build recommendation systems, predictive models, and automated decision-making systems. Optimize model performance and deployment.","Python;scikit-learn;TensorFlow;PyTorch;ML algorithms;model deployment;data pipelines;MLOps"
ML Engineer,ML Solutions Inc,San Francisco,"Design and implement machine learning solutions. Train models, evaluate performance, and deploy to production. Work with large datasets and optimize inference.","Python;machine learning;deep learning;ML frameworks;model training;feature engineering;MLOps;production ML"
AI Engineer,AI Innovations,Remote,"Develop AI-powered solutions and applications. Work with large language models, generative AI, and AI agents. Build intelligent systems that solve complex problems.","Python;TensorFlow;PyTorch;LLMs;generative AI;AI frameworks;prompt engineering;AI systems"
GenAI Engineer,GenAI Labs,Remote,"Build generative AI applications using large language models. Fine-tune models, implement RAG systems, and optimize inference. Create AI-powered products and features.","Python;Transformers;LangChain;LLMs;RAG;prompt engineering;generative models;AI deployment"
Data Scientist,InsightWorks,New York,"Analyze complex datasets and build predictive models. Create data visualizations and communicate insights to stakeholders. Develop statistical models and machine learning solutions.","Python;R;SQL;statistics;machine learning;data visualization;pandas;scikit-learn;data analysis"
Data Scientist,AnalyticsPro Inc,Remote,"Extract insights from data and build predictive models. Perform exploratory data analysis and create dashboards. Work with stakeholders to solve business problems using data.","Python;SQL;Tableau;statistical analysis;machine learning;data visualization;business intelligence;data storytelling"
